Strategy report
Symbol: BAC
Work Time: 10/30/20, 9:40 AM - 7/9/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$23.63;10/30/20, 9:40 AM;;$0.00;1.0;
2;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$23.68;10/30/20, 10:20 AM;$0.05;$0.05;0.0;
3;AAA;Buy to Open;1.0;$23.80;11/2/20, 9:35 AM;;($0.04);1.0;
4;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$23.48;11/2/20, 9:45 AM;($0.32);($0.27);0.0;
5;AAA;Buy to Open;1.0;$24.58;11/3/20, 9:35 AM;;($0.20);1.0;
6;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$24.79;11/3/20, 10:05 AM;$0.21;($0.06);0.0;
7;AAA;Buy to Open;1.0;$24.16;11/5/20, 9:35 AM;;($0.06);1.0;
8;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$24.28;11/5/20, 10:05 AM;$0.12;$0.06;0.0;
9;AAA;Buy to Open;1.0;$26.96;11/9/20, 9:35 AM;;($0.18);1.0;
10;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$26.88;11/9/20, 10:05 AM;($0.07);($0.02);0.0;
11;AAA;Buy to Open;1.0;$27.65;11/11/20, 9:35 AM;;($0.16);1.0;
12;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$27.29;11/11/20, 11:05 AM;($0.36);($0.38);0.0;
13;AAA;Buy to Open;1.0;$26.81;11/13/20, 9:35 AM;;($0.36);1.0;
14;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$27.02;11/13/20, 10:05 AM;$0.21;($0.17);0.0;
15;AAA;Buy to Open;1.0;$27.78;11/16/20, 9:35 AM;;($0.19);1.0;
16;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$27.62;11/16/20, 10:00 AM;($0.16);($0.33);0.0;
17;AAA;Buy to Open;1.0;$27.61;11/18/20, 9:35 AM;;($0.29);1.0;
18;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$27.88;11/18/20, 10:05 AM;$0.27;($0.06);0.0;
19;AAA;Buy to Open;1.0;$27.11;11/23/20, 9:35 AM;;($0.08);1.0;
20;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$27.32;11/23/20, 10:10 AM;$0.21;$0.15;0.0;
21;AAA;Buy to Open;1.0;$28.06;11/24/20, 9:35 AM;;$0.20;1.0;
22;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$28.39;11/24/20, 10:05 AM;$0.34;$0.49;0.0;
23;AAA;Buy to Open;1.0;$28.68;11/25/20, 9:35 AM;;$0.51;1.0;
24;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$28.83;11/25/20, 11:30 AM;$0.15;$0.64;0.0;
25;AAA;Buy to Open;1.0;$29.00;11/27/20, 9:35 AM;;$0.66;1.0;
26;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$29.00;11/27/20, 9:50 AM;$0.00;$0.63;0.0;
27;AAA;Buy to Open;1.0;$28.74;12/1/20, 9:35 AM;;$0.79;1.0;
28;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$28.95;12/1/20, 10:05 AM;$0.21;$0.84;0.0;
29;AAA;Buy to Open;1.0;$28.86;12/2/20, 9:40 AM;;$0.94;1.0;
30;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$28.96;12/2/20, 10:10 AM;$0.10;$0.94;0.0;
31;AAA;Buy to Open;1.0;$29.34;12/4/20, 9:35 AM;;$0.98;1.0;
32;AAA(,5,BAC,9,9,10,);Sell to Close;-1.0;$29.19;12/4/20, 10:00 AM;($0.15);$0.79;0.0;
33;AAA;Buy to Open;1.0;$29.06;12/8/20, 9:40 AM;;$0.80;1.0;
