Strategy report
Symbol: AAPL
Work Time: 10/26/20, 9:35 AM - 7/7/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$115.24;10/26/20, 9:35 AM;;$0.16;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.15;10/26/20, 9:45 AM;($0.09);($0.09);0.0;
3;MacdPerfect;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$0.12;1.0;
4;MacdPerfect;Sell to Close;-1.0;$115.16;10/27/20, 9:50 AM;$0.41;$0.32;0.0;
5;MacdPerfect;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;($0.36);1.0;
6;MacdPerfect;Sell to Close;-1.0;$112.97;10/29/20, 9:40 AM;($0.68);($0.36);0.0;
7;MacdPerfect;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$0.04;1.0;
8;MacdPerfect;Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);($0.40);0.0;
9;MacdPerfect;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;($0.31);1.0;
10;MacdPerfect;Sell to Close;-1.0;$110.69;11/3/20, 10:30 AM;$1.64;$1.25;0.0;
11;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$0.14;1.0;
12;MacdPerfect;Sell to Close;-1.0;$112.75;11/4/20, 9:40 AM;($1.10);$0.15;0.0;
13;MacdPerfect;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$0.81;1.0;
14;MacdPerfect;Sell to Close;-1.0;$118.76;11/5/20, 10:10 AM;$1.29;$1.44;0.0;
15;MacdPerfect;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$0.64;1.0;
16;MacdPerfect;Sell to Close;-1.0;$119.09;11/9/20, 9:40 AM;($0.81);$0.63;0.0;
17;MacdPerfect;Buy to Open;1.0;$117.35;11/10/20, 9:35 AM;;$0.06;1.0;
18;MacdPerfect;Sell to Close;-1.0;$116.79;11/10/20, 9:40 AM;($0.56);$0.07;0.0;
19;MacdPerfect;Buy to Open;1.0;$117.00;11/11/20, 9:35 AM;;$0.36;1.0;
20;MacdPerfect;Sell to Close;-1.0;$117.99;11/11/20, 10:20 AM;$0.99;$1.06;0.0;
21;MacdPerfect;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$1.59;1.0;
22;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 9:50 AM;($0.19);$0.87;0.0;
23;MacdPerfect;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$0.95;1.0;
24;MacdPerfect;Sell to Close;-1.0;$118.66;11/13/20, 9:50 AM;($0.44);$0.43;0.0;
25;MacdPerfect;Buy to Open;1.0;$119.09;11/18/20, 9:40 AM;;$0.33;1.0;
26;MacdPerfect;Sell to Close;-1.0;$118.77;11/18/20, 10:00 AM;($0.32);$0.11;0.0;
27;MacdPerfect;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$0.60;1.0;
28;MacdPerfect;Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;$0.08;$0.19;0.0;
29;MacdPerfect;Buy to Open;1.0;$117.03;11/27/20, 9:35 AM;;$0.11;1.0;
30;MacdPerfect;Sell to Close;-1.0;$116.86;11/27/20, 9:55 AM;($0.17);$0.02;0.0;
31;MacdPerfect;Buy to Open;1.0;$118.24;11/30/20, 9:35 AM;;$0.71;1.0;
32;MacdPerfect;Sell to Close;-1.0;$119.02;11/30/20, 10:15 AM;$0.78;$0.80;0.0;
33;MacdPerfect;Buy to Open;1.0;$120.32;12/1/20, 9:35 AM;;$1.74;1.0;
34;MacdPerfect;Sell to Close;-1.0;$122.40;12/1/20, 10:25 AM;$2.08;$2.87;0.0;
35;MacdPerfect;Buy to Open;1.0;$123.37;12/3/20, 9:35 AM;;$2.73;1.0;
36;MacdPerfect;Sell to Close;-1.0;$123.23;12/3/20, 9:40 AM;($0.14);$2.73;0.0;
37;MacdPerfect;Buy to Open;1.0;$123.09;12/7/20, 9:35 AM;;$3.10;1.0;
38;MacdPerfect;Sell to Close;-1.0;$123.89;12/7/20, 10:20 AM;$0.80;$3.53;0.0;
39;MacdPerfect;Buy to Open;1.0;$124.40;12/9/20, 9:40 AM;;$3.99;1.0;
