Strategy report
Symbol: AAPL
Work Time: 10/27/20, 9:35 AM - 7/12/21, 9:50 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA_hikenashi;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$0.21;1.0;
2;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$115.96;10/27/20, 10:15 AM;$1.21;$1.21;0.0;
3;AAA_hikenashi;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;$0.53;1.0;
4;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$113.93;10/29/20, 10:10 AM;$0.28;$1.49;0.0;
5;AAA_hikenashi;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$1.89;1.0;
6;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$1.45;0.0;
7;AAA_hikenashi;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$1.54;1.0;
8;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$110.92;11/3/20, 10:25 AM;$1.88;$3.33;0.0;
9;AAA_hikenashi;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$2.23;1.0;
10;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$114.55;11/4/20, 10:10 AM;$0.70;$4.03;0.0;
11;AAA_hikenashi;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$4.70;1.0;
12;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$118.97;11/5/20, 10:05 AM;$1.49;$5.53;0.0;
13;AAA_hikenashi;Buy to Open;1.0;$119.09;11/9/20, 9:40 AM;;$5.82;1.0;
14;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$121.73;11/9/20, 10:35 AM;$2.63;$8.16;0.0;
15;AAA_hikenashi;Buy to Open;1.0;$117.35;11/10/20, 9:35 AM;;$7.59;1.0;
16;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$115.48;11/10/20, 10:30 AM;($1.87);$6.29;0.0;
17;AAA_hikenashi;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$6.83;1.0;
18;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.70;11/12/20, 9:45 AM;$0.41;$6.70;0.0;
19;AAA_hikenashi;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$6.78;1.0;
20;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.19;11/13/20, 9:40 AM;$0.09;$6.79;0.0;
21;AAA_hikenashi;Buy to Open;1.0;$119.09;11/18/20, 9:40 AM;;$6.69;1.0;
22;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.37;11/18/20, 11:15 AM;$0.28;$7.07;0.0;
23;AAA_hikenashi;Buy to Open;1.0;$115.74;11/25/20, 9:35 AM;;$7.56;1.0;
24;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$115.82;11/25/20, 10:05 AM;$0.08;$7.15;0.0;
25;AAA_hikenashi;Buy to Open;1.0;$117.03;11/27/20, 9:35 AM;;$7.07;1.0;
26;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$116.85;11/27/20, 10:05 AM;($0.18);$6.97;0.0;
27;AAA_hikenashi;Buy to Open;1.0;$118.24;11/30/20, 9:35 AM;;$7.66;1.0;
28;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$119.04;11/30/20, 10:05 AM;$0.80;$7.77;0.0;
29;AAA_hikenashi;Buy to Open;1.0;$120.32;12/1/20, 9:35 AM;;$8.71;1.0;
30;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$122.75;12/1/20, 10:15 AM;$2.43;$10.20;0.0;
31;AAA_hikenashi;Buy to Open;1.0;$123.09;12/7/20, 9:35 AM;;$10.57;1.0;
32;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$124.21;12/7/20, 10:10 AM;$1.12;$11.32;0.0;
33;AAA_hikenashi;Buy to Open;1.0;$124.40;12/9/20, 9:40 AM;;$11.77;1.0;
34;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$124.77;12/9/20, 10:15 AM;$0.37;$11.69;0.0;
35;AAA_hikenashi;Buy to Open;1.0;$122.74;12/14/20, 9:35 AM;;$11.99;1.0;
36;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$122.95;12/14/20, 10:00 AM;$0.22;$11.90;0.0;
37;AAA_hikenashi;Buy to Open;1.0;$125.17;12/15/20, 9:35 AM;;$12.95;1.0;
38;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$126.35;12/15/20, 10:05 AM;$1.18;$13.09;0.0;
39;AAA_hikenashi;Buy to Open;1.0;$129.19;12/17/20, 9:35 AM;;$13.44;1.0;
40;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$128.96;12/17/20, 10:00 AM;($0.24);$12.85;0.0;
41;AAA_hikenashi;Buy to Open;1.0;$130.91;12/22/20, 9:35 AM;;$13.73;1.0;
42;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$133.78;12/22/20, 10:05 AM;$2.87;$15.72;0.0;
43;AAA_hikenashi;Buy to Open;1.0;$131.95;12/24/20, 9:35 AM;;$15.72;1.0;
44;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$132.56;12/24/20, 10:10 AM;$0.61;$16.33;0.0;
45;AAA_hikenashi;Buy to Open;1.0;$134.38;12/28/20, 9:35 AM;;$16.76;1.0;
46;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.48;12/28/20, 10:05 AM;$1.10;$17.43;0.0;
47;AAA_hikenashi;Buy to Open;1.0;$138.42;12/29/20, 9:35 AM;;$16.87;1.0;
48;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$136.91;12/29/20, 9:55 AM;($1.51);$15.91;0.0;
49;AAA_hikenashi;Buy to Open;1.0;$130.49;1/5/21, 9:35 AM;;$16.13;1.0;
50;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$131.20;1/5/21, 10:05 AM;$0.71;$16.63;0.0;
51;AAA_hikenashi;Buy to Open;1.0;$132.32;1/8/21, 9:35 AM;;$15.78;1.0;
52;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$131.48;1/8/21, 9:40 AM;($0.84);$15.79;0.0;
53;AAA_hikenashi;Buy to Open;1.0;$129.27;1/13/21, 9:35 AM;;$15.79;1.0;
54;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$129.75;1/13/21, 10:10 AM;$0.48;$16.27;0.0;
55;AAA_hikenashi;Buy to Open;1.0;$130.01;1/15/21, 9:35 AM;;$16.09;1.0;
56;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$129.15;1/15/21, 10:00 AM;($0.86);$15.41;0.0;
57;AAA_hikenashi;Buy to Open;1.0;$128.31;1/19/21, 9:35 AM;;$15.14;1.0;
58;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$127.46;1/19/21, 10:00 AM;($0.85);$14.56;0.0;
59;AAA_hikenashi;Buy to Open;1.0;$129.32;1/20/21, 9:35 AM;;$15.20;1.0;
60;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$130.03;1/20/21, 10:05 AM;$0.71;$15.27;0.0;
61;AAA_hikenashi;Buy to Open;1.0;$133.99;1/21/21, 9:35 AM;;$15.77;1.0;
62;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.29;1/21/21, 10:10 AM;$1.30;$16.57;0.0;
63;AAA_hikenashi;Buy to Open;1.0;$144.54;1/25/21, 9:35 AM;;$16.91;1.0;
64;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$144.76;1/25/21, 10:05 AM;$0.22;$16.80;0.0;
65;AAA_hikenashi;Buy to Open;1.0;$143.95;1/26/21, 9:35 AM;;$16.64;1.0;
66;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$142.06;1/26/21, 9:45 AM;($1.89);$14.91;0.0;
67;AAA_hikenashi;Buy to Open;1.0;$134.66;2/1/21, 9:35 AM;;$13.88;1.0;
68;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$133.20;2/1/21, 9:45 AM;($1.47);$13.44;0.0;
69;AAA_hikenashi;Buy to Open;1.0;$135.95;2/2/21, 9:35 AM;;$13.23;1.0;
70;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.44;2/2/21, 10:00 AM;($0.51);$12.93;0.0;
71;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$134.98;2/3/21, 9:35 AM;$0.00;$13.48;-1.0;
72;AAA_hikenashi;Buy to Open;1.0;$134.98;2/3/21, 9:35 AM;;$12.93;0.0;
73;AAA_hikenashi;Buy to Open;1.0;$135.93;2/4/21, 9:35 AM;;$12.66;1.0;
74;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.28;2/4/21, 10:00 AM;($0.66);$12.27;0.0;
75;AAA_hikenashi;Buy to Open;1.0;$137.36;2/9/21, 9:35 AM;;$12.37;1.0;
76;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$137.11;2/9/21, 9:55 AM;($0.25);$12.02;0.0;
77;AAA_hikenashi;Buy to Open;1.0;$136.53;2/10/21, 9:35 AM;;$11.88;1.0;
78;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$136.24;2/10/21, 10:10 AM;($0.29);$11.73;0.0;
79;AAA_hikenashi;Buy to Open;1.0;$136.02;2/11/21, 9:35 AM;;$11.90;1.0;
80;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.22;2/11/21, 9:55 AM;($0.80);$10.93;0.0;
81;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$135.27;2/16/21, 9:35 AM;$0.00;$11.27;-1.0;
82;AAA_hikenashi;Buy to Open;1.0;$135.27;2/16/21, 9:35 AM;;$10.93;0.0;
83;AAA_hikenashi;Buy to Open;1.0;$134.93;2/16/21, 9:40 AM;;$10.84;1.0;
84;AAA_hikenashi(,5,AAPL,9,9,10,);Sell to Close;-1.0;$134.88;2/16/21, 10:45 AM;($0.05);$10.88;0.0;
85;AAA_hikenashi;Buy to Open;1.0;$129.77;2/19/21, 9:35 AM;;$10.75;1.0;
