Strategy report
Symbol: AAPL
Work Time: 10/26/20, 9:35 AM - 7/9/21, 10:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$115.24;10/26/20, 9:35 AM;;$0.16;1.0;
2;MacdPerfect;Sell to Close;-1.0;$115.15;10/26/20, 9:45 AM;($0.09);($0.09);0.0;
3;MacdPerfect;Buy to Open;1.0;$115.23;10/26/20, 9:50 AM;;$0.48;1.0;
4;MacdPerfect;Sell to Close;-1.0;$116.08;10/26/20, 10:25 AM;$0.85;$0.76;0.0;
5;MacdPerfect;Buy to Open;1.0;$114.75;10/27/20, 9:35 AM;;$0.97;1.0;
6;MacdPerfect;Sell to Close;-1.0;$115.16;10/27/20, 9:50 AM;$0.41;$1.17;0.0;
7;MacdPerfect;Buy to Open;1.0;$115.65;10/27/20, 9:55 AM;;$1.52;1.0;
8;MacdPerfect;Sell to Close;-1.0;$115.96;10/27/20, 10:15 AM;$0.31;$1.48;0.0;
9;MacdPerfect;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;$0.80;1.0;
10;MacdPerfect;Sell to Close;-1.0;$112.97;10/29/20, 9:40 AM;($0.68);$0.81;0.0;
11;MacdPerfect;Buy to Open;1.0;$113.43;10/29/20, 9:50 AM;;$1.37;1.0;
12;MacdPerfect;Sell to Close;-1.0;$113.59;10/29/20, 10:15 AM;$0.16;$0.97;0.0;
13;MacdPerfect;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$1.36;1.0;
14;MacdPerfect;Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$0.93;0.0;
15;MacdPerfect;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$1.02;1.0;
16;MacdPerfect;Sell to Close;-1.0;$110.69;11/3/20, 10:30 AM;$1.64;$2.57;0.0;
17;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$1.47;1.0;
18;MacdPerfect;Sell to Close;-1.0;$112.75;11/4/20, 9:40 AM;($1.10);$1.47;0.0;
19;MacdPerfect;Buy to Open;1.0;$113.44;11/4/20, 9:45 AM;;$1.07;1.0;
20;MacdPerfect;Sell to Close;-1.0;$112.97;11/4/20, 9:55 AM;($0.47);$1.00;0.0;
21;MacdPerfect;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$1.67;1.0;
22;MacdPerfect;Sell to Close;-1.0;$118.76;11/5/20, 10:10 AM;$1.29;$2.29;0.0;
23;MacdPerfect;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$1.49;1.0;
24;MacdPerfect;Sell to Close;-1.0;$119.09;11/9/20, 9:40 AM;($0.81);$1.48;0.0;
25;MacdPerfect;Buy to Open;1.0;$119.38;11/9/20, 9:45 AM;;$2.36;1.0;
26;MacdPerfect;Sell to Close;-1.0;$119.65;11/9/20, 9:55 AM;$0.27;$1.75;0.0;
27;MacdPerfect;Buy to Open;1.0;$117.35;11/10/20, 9:35 AM;;$1.18;1.0;
28;MacdPerfect;Sell to Close;-1.0;$116.79;11/10/20, 9:40 AM;($0.56);$1.19;0.0;
29;MacdPerfect;Buy to Open;1.0;$117.00;11/11/20, 9:35 AM;;$1.48;1.0;
30;MacdPerfect;Sell to Close;-1.0;$117.99;11/11/20, 10:20 AM;$0.99;$2.18;0.0;
31;MacdPerfect;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$2.71;1.0;
32;MacdPerfect;Sell to Close;-1.0;$119.10;11/12/20, 9:50 AM;($0.19);$1.99;0.0;
33;MacdPerfect;Buy to Open;1.0;$119.47;11/12/20, 9:55 AM;;$2.24;1.0;
34;MacdPerfect;Sell to Close;-1.0;$119.91;11/12/20, 10:25 AM;$0.44;$2.43;0.0;
35;MacdPerfect;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$2.51;1.0;
36;MacdPerfect;Sell to Close;-1.0;$118.66;11/13/20, 9:50 AM;($0.44);$1.99;0.0;
37;MacdPerfect;Buy to Open;1.0;$119.93;11/16/20, 9:45 AM;;$2.03;1.0;
38;MacdPerfect;Sell to Close;-1.0;$119.54;11/16/20, 9:55 AM;($0.40);$1.59;0.0;
39;MacdPerfect;Buy to Open;1.0;$119.09;11/18/20, 9:40 AM;;$1.49;1.0;
