Strategy report
Symbol: AMC
Work Time: 5/7/21, 9:45 AM - 6/18/21, 3:45 PM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;BashirStrategy(EnterLong);Buy to Open;100.0;$9.52;5/7/21, 9:45 AM;;($1.09);100.0;
2;BashirStrategy(ExitLong);Sell to Close;-100.0;$11.36;5/13/21, 9:45 AM;$184.41;$184.41;0.0;
3;BashirStrategy(EnterLong);Buy to Open;100.0;$11.62;5/13/21, 10:00 AM;;$196.50;100.0;
4;BashirStrategy(ExitLong);Sell to Close;-100.0;$12.96;5/13/21, 1:45 PM;$133.88;$318.29;0.0;
5;BashirStrategy(EnterLong);Buy to Open;100.0;$13.45;5/13/21, 2:00 PM;;$329.10;100.0;
6;BashirStrategy(ExitLong);Sell to Close;-100.0;$12.77;5/14/21, 9:30 AM;($68.30);$249.99;0.0;
7;BashirStrategy(EnterLong);Buy to Open;100.0;$14.01;5/14/21, 11:00 AM;;$253.19;100.0;
8;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.39;5/14/21, 12:15 PM;($62.41);$187.58;0.0;
9;BashirStrategy(EnterShort);Sell to Open;-100.0;$13.23;5/14/21, 12:30 PM;;$181.35;-100.0;
10;BashirStrategy(ExitShort);Buy to Close;100.0;$13.92;5/17/21, 9:45 AM;($69.21);$118.37;0.0;
11;BashirStrategy(EnterLong);Buy to Open;100.0;$14.00;5/17/21, 10:00 AM;;$136.37;100.0;
12;BashirStrategy(ExitLong);Sell to Close;-100.0;$13.26;5/19/21, 9:45 AM;($73.30);$45.07;0.0;
13;BashirStrategy(EnterShort);Sell to Open;-100.0;$12.84;5/19/21, 10:00 AM;;$37.76;-100.0;
14;BashirStrategy(ExitShort);Buy to Close;100.0;$13.47;5/24/21, 11:00 AM;($63.10);($18.03);0.0;
15;BashirStrategy(EnterLong);Buy to Open;100.0;$13.72;5/24/21, 11:15 AM;;($32.89);100.0;
16;BashirStrategy(ExitLong);Sell to Close;-100.0;$15.03;5/25/21, 2:30 PM;$131.03;$113.00;0.0;
17;BashirStrategy(EnterLong);Buy to Open;100.0;$15.68;5/25/21, 2:45 PM;;$73.21;100.0;
18;BashirStrategy(ExitLong);Sell to Close;-100.0;$17.95;5/26/21, 9:45 AM;$227.11;$340.11;0.0;
19;BashirStrategy(EnterLong);Buy to Open;100.0;$18.59;5/26/21, 10:00 AM;;$331.04;100.0;
20;BashirStrategy(ExitLong);Sell to Close;-100.0;$20.57;5/27/21, 10:00 AM;$197.93;$538.04;0.0;
21;BashirStrategy(EnterLong);Buy to Open;100.0;$21.62;5/27/21, 10:15 AM;;$673.05;100.0;
22;BashirStrategy(ExitLong);Sell to Close;-100.0;$22.97;5/27/21, 10:30 AM;$135.01;$673.05;0.0;
23;BashirStrategy(EnterLong);Buy to Open;100.0;$22.42;5/27/21, 10:45 AM;;$697.46;100.0;
24;BashirStrategy(ExitLong);Sell to Close;-100.0;$24.16;5/27/21, 1:15 PM;$174.00;$847.05;0.0;
25;BashirStrategy(EnterLong);Buy to Open;100.0;$25.43;5/27/21, 1:30 PM;;$953.16;100.0;
26;BashirStrategy(ExitLong);Sell to Close;-100.0;$29.39;5/27/21, 2:00 PM;$396.64;$1,243.69;0.0;
27;BashirStrategy(EnterLong);Buy to Open;100.0;$25.55;5/27/21, 2:15 PM;;$1,434.43;100.0;
28;BashirStrategy(ExitLong);Sell to Close;-100.0;$27.46;5/27/21, 2:30 PM;$190.74;$1,434.43;0.0;
29;BashirStrategy(EnterLong);Buy to Open;100.0;$27.85;5/27/21, 2:45 PM;;$1,509.90;100.0;
30;BashirStrategy(ExitLong);Sell to Close;-100.0;$27.17;5/27/21, 3:45 PM;($68.03);$1,366.40;0.0;
31;BashirStrategy(EnterLong);Buy to Open;100.0;$32.59;5/28/21, 9:45 AM;;$1,493.39;100.0;
32;BashirStrategy(ExitLong);Sell to Close;-100.0;$33.86;5/28/21, 10:00 AM;$126.99;$1,493.39;0.0;
33;BashirStrategy(EnterLong);Buy to Open;100.0;$31.62;5/28/21, 10:15 AM;;$1,192.95;100.0;
34;BashirStrategy(ExitLong);Sell to Close;-100.0;$28.62;5/28/21, 10:30 AM;($300.44);$1,192.95;0.0;
35;BashirStrategy(EnterShort);Sell to Open;-100.0;$27.04;5/28/21, 11:45 AM;;$1,268.45;-100.0;
36;BashirStrategy(ExitShort);Buy to Close;100.0;$27.55;5/28/21, 12:45 PM;($51.50);$1,141.45;0.0;
37;BashirStrategy(EnterShort);Sell to Open;-100.0;$25.70;5/28/21, 1:00 PM;;$1,073.45;-100.0;
38;BashirStrategy(ExitShort);Buy to Close;100.0;$26.38;5/28/21, 1:15 PM;($68.00);$1,073.45;0.0;
39;BashirStrategy(EnterShort);Sell to Open;-100.0;$25.53;5/28/21, 1:30 PM;;$908.46;-100.0;
40;BashirStrategy(ExitShort);Buy to Close;100.0;$27.18;5/28/21, 1:45 PM;($164.99);$908.46;0.0;
41;BashirStrategy(EnterShort);Sell to Open;-100.0;$26.33;5/28/21, 3:15 PM;;$945.23;-100.0;
42;BashirStrategy(ExitShort);Buy to Close;100.0;$30.31;6/1/21, 9:45 AM;($398.00);$510.46;0.0;
43;BashirStrategy(EnterLong);Buy to Open;100.0;$30.79;6/1/21, 10:00 AM;;$435.46;100.0;
44;BashirStrategy(ExitLong);Sell to Close;-100.0;$30.04;6/1/21, 10:15 AM;($75.00);$435.46;0.0;
45;BashirStrategy(EnterLong);Buy to Open;100.0;$29.13;6/1/21, 10:30 AM;;$488.47;100.0;
46;BashirStrategy(ExitLong);Sell to Close;-100.0;$30.53;6/1/21, 12:00 PM;$140.00;$575.46;0.0;
47;BashirStrategy(EnterLong);Buy to Open;100.0;$31.51;6/1/21, 12:15 PM;;$560.56;100.0;
48;BashirStrategy(ExitLong);Sell to Close;-100.0;$30.80;6/1/21, 1:00 PM;($71.60);$503.86;0.0;
49;BashirStrategy(EnterLong);Buy to Open;100.0;$31.53;6/1/21, 1:15 PM;;$435.93;100.0;
50;BashirStrategy(ExitLong);Sell to Close;-100.0;$30.85;6/1/21, 1:30 PM;($67.93);$435.93;0.0;
51;BashirStrategy(EnterLong);Buy to Open;100.0;$31.21;6/1/21, 1:45 PM;;$439.93;100.0;
52;BashirStrategy(ExitLong);Sell to Close;-100.0;$39.15;6/2/21, 9:45 AM;$793.52;$1,229.45;0.0;
53;BashirStrategy(EnterLong);Buy to Open;100.0;$41.15;6/2/21, 10:00 AM;;$1,131.45;100.0;
54;BashirStrategy(ExitLong);Sell to Close;-100.0;$40.17;6/2/21, 10:15 AM;($98.00);$1,131.45;0.0;
55;BashirStrategy(EnterLong);Buy to Open;100.0;$40.41;6/2/21, 10:30 AM;;$1,066.44;100.0;
56;BashirStrategy(ExitLong);Sell to Close;-100.0;$39.76;6/2/21, 10:45 AM;($65.01);$1,066.44;0.0;
57;BashirStrategy(EnterLong);Buy to Open;100.0;$40.45;6/2/21, 11:00 AM;;$1,094.45;100.0;
58;BashirStrategy(ExitLong);Sell to Close;-100.0;$43.35;6/2/21, 11:30 AM;$289.71;$1,356.15;0.0;
59;BashirStrategy(EnterLong);Buy to Open;100.0;$44.00;6/2/21, 11:45 AM;;$1,666.15;100.0;
60;BashirStrategy(ExitLong);Sell to Close;-100.0;$47.10;6/2/21, 12:00 PM;$310.00;$1,666.15;0.0;
61;BashirStrategy(EnterLong);Buy to Open;100.0;$49.48;6/2/21, 12:15 PM;;$2,889.30;100.0;
62;BashirStrategy(ExitLong);Sell to Close;-100.0;$61.72;6/2/21, 12:30 PM;$1,223.15;$2,889.30;0.0;
63;BashirStrategy(EnterLong);Buy to Open;100.0;$56.83;6/2/21, 12:45 PM;;$2,991.29;100.0;
