Strategy report
Symbol: BAC
Work Time: 10/21/20, 3:25 PM - 7/2/21, 11:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$24.12;10/21/20, 3:25 PM;;$0.01;1.0;
2;MacdPerfect;Sell to Close;-1.0;$24.09;10/21/20, 3:35 PM;($0.03);($0.03);0.0;
3;MacdPerfect;Buy to Open;1.0;$25.17;10/23/20, 9:35 AM;;($0.01);1.0;
4;MacdPerfect;Sell to Close;-1.0;$25.17;10/23/20, 10:10 AM;$0.01;($0.03);0.0;
5;MacdPerfect;Buy to Open;1.0;$25.10;10/23/20, 10:15 AM;;($0.08);1.0;
6;MacdPerfect;Sell to Close;-1.0;$25.04;10/23/20, 10:20 AM;($0.06);($0.09);0.0;
7;MacdPerfect;Buy to Open;1.0;$24.97;10/23/20, 11:30 AM;;($0.09);1.0;
8;MacdPerfect;Sell to Close;-1.0;$24.93;10/23/20, 12:05 PM;($0.03);($0.12);0.0;
9;MacdPerfect;Buy to Open;1.0;$24.81;10/23/20, 12:35 PM;;($0.15);1.0;
10;MacdPerfect;Sell to Close;-1.0;$24.76;10/23/20, 12:55 PM;($0.05);($0.17);0.0;
11;MacdPerfect;Buy to Open;1.0;$24.80;10/23/20, 1:05 PM;;($0.18);1.0;
12;MacdPerfect;Sell to Close;-1.0;$24.96;10/23/20, 2:30 PM;$0.16;($0.01);0.0;
13;MacdPerfect;Buy to Open;1.0;$24.94;10/23/20, 2:35 PM;;($0.04);1.0;
14;MacdPerfect;Sell to Close;-1.0;$24.92;10/23/20, 2:40 PM;($0.02);($0.03);0.0;
15;MacdPerfect;Buy to Open;1.0;$24.99;10/23/20, 3:05 PM;;($0.03);1.0;
16;MacdPerfect;Sell to Close;-1.0;$24.97;10/23/20, 3:20 PM;($0.03);($0.06);0.0;
17;MacdPerfect;Buy to Open;1.0;$24.95;10/23/20, 3:40 PM;;($0.07);1.0;
18;MacdPerfect;Sell to Close;-1.0;$24.92;10/23/20, 3:50 PM;($0.03);($0.09);0.0;
19;MacdPerfect;Buy to Open;1.0;$23.37;10/30/20, 11:05 AM;;($0.14);1.0;
20;MacdPerfect;Sell to Close;-1.0;$23.55;10/30/20, 12:15 PM;$0.18;$0.09;0.0;
21;MacdPerfect;Buy to Open;1.0;$23.56;10/30/20, 12:20 PM;;$0.08;1.0;
22;MacdPerfect;Sell to Close;-1.0;$23.51;10/30/20, 12:30 PM;($0.05);$0.04;0.0;
23;MacdPerfect;Buy to Open;1.0;$23.39;10/30/20, 1:25 PM;;$0.06;1.0;
24;MacdPerfect;Sell to Close;-1.0;$23.33;10/30/20, 1:35 PM;($0.06);($0.02);0.0;
25;MacdPerfect;Buy to Open;1.0;$23.37;10/30/20, 1:50 PM;;($0.02);1.0;
26;MacdPerfect;Sell to Close;-1.0;$23.37;10/30/20, 2:25 PM;$0.00;($0.02);0.0;
27;MacdPerfect;Buy to Open;1.0;$23.49;10/30/20, 3:40 PM;;$0.04;1.0;
28;MacdPerfect;Sell to Close;-1.0;$23.62;10/30/20, 3:55 PM;$0.13;$0.11;0.0;
29;MacdPerfect;Buy to Open;1.0;$23.76;11/2/20, 9:35 AM;;$0.07;1.0;
30;MacdPerfect;Sell to Close;-1.0;$23.59;11/2/20, 9:40 AM;($0.17);($0.06);0.0;
31;MacdPerfect;Buy to Open;1.0;$23.59;11/2/20, 9:45 AM;;$0.05;1.0;
32;MacdPerfect;Sell to Close;-1.0;$23.95;11/2/20, 10:35 AM;$0.36;$0.30;0.0;
33;MacdPerfect;Buy to Open;1.0;$24.62;11/3/20, 9:35 AM;;$0.33;1.0;
34;MacdPerfect;Sell to Close;-1.0;$24.73;11/3/20, 10:10 AM;$0.12;$0.41;0.0;
35;MacdPerfect;Buy to Open;1.0;$24.79;11/3/20, 10:15 AM;;$0.47;1.0;
36;MacdPerfect;Sell to Close;-1.0;$24.81;11/3/20, 10:25 AM;$0.02;$0.43;0.0;
37;MacdPerfect;Buy to Open;1.0;$24.72;11/3/20, 1:10 PM;;$0.44;1.0;
38;MacdPerfect;Sell to Close;-1.0;$24.73;11/3/20, 1:50 PM;$0.01;$0.44;0.0;
39;MacdPerfect;Buy to Open;1.0;$24.82;11/3/20, 2:10 PM;;$0.46;1.0;
40;MacdPerfect;Sell to Close;-1.0;$24.80;11/3/20, 2:20 PM;($0.03);$0.41;0.0;
41;MacdPerfect;Buy to Open;1.0;$24.52;11/6/20, 12:25 PM;;$0.41;1.0;
42;MacdPerfect;Sell to Close;-1.0;$24.47;11/6/20, 12:50 PM;($0.05);$0.36;0.0;
43;MacdPerfect;Buy to Open;1.0;$24.45;11/6/20, 1:20 PM;;$0.35;1.0;
44;MacdPerfect;Sell to Close;-1.0;$24.40;11/6/20, 2:00 PM;($0.05);$0.31;0.0;
