Strategy report
Symbol: QQQ
Work Time: 10/27/20, 9:35 AM - 7/12/21, 9:55 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$280.85;10/27/20, 9:35 AM;;$0.76;1.0;
2;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$281.79;10/27/20, 10:00 AM;$0.94;$0.94;0.0;
3;AAA;Buy to Open;1.0;$273.87;10/29/20, 9:35 AM;;$0.19;1.0;
4;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$275.63;10/29/20, 10:30 AM;$1.76;$2.70;0.0;
5;AAA;Buy to Open;1.0;$271.45;11/2/20, 9:35 AM;;$3.63;1.0;
6;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$272.57;11/2/20, 10:05 AM;$1.12;$3.82;0.0;
7;AAA;Buy to Open;1.0;$271.04;11/3/20, 9:35 AM;;$4.13;1.0;
8;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$275.72;11/3/20, 10:30 AM;$4.68;$8.50;0.0;
9;AAA;Buy to Open;1.0;$284.35;11/4/20, 9:35 AM;;$6.57;1.0;
10;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$285.08;11/4/20, 10:05 AM;$0.73;$9.23;0.0;
11;AAA;Buy to Open;1.0;$292.56;11/5/20, 9:35 AM;;$10.43;1.0;
12;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$294.95;11/5/20, 10:05 AM;$2.39;$11.62;0.0;
13;AAA;Buy to Open;1.0;$294.96;11/9/20, 9:35 AM;;$12.00;1.0;
14;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$298.73;11/9/20, 10:35 AM;$3.77;$15.39;0.0;
15;AAA;Buy to Open;1.0;$290.82;11/12/20, 9:35 AM;;$16.15;1.0;
16;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$290.94;11/12/20, 9:55 AM;$0.12;$15.51;0.0;
17;AAA;Buy to Open;1.0;$289.99;11/13/20, 9:35 AM;;$16.06;1.0;
18;AAA(,5,QQQ,9,9,10,);Sell to Close;-1.0;$289.82;11/13/20, 10:00 AM;($0.17);$15.34;0.0;
